supplier_id,supplier_name,contact_name,email,phone
1,"Morrison, Ramirez and Boyer",Jason Gray,iweeks@cook.org,(025)385-4838x36796
2,Hernandez Group,Kenneth Thomas,anthony77@yahoo.com,(172)974-5135x10048
3,"Graham, Zavala and Ross",Aimee Carlson,heatherbrewer@hotmail.com,(794)104-2686
4,Nichols LLC,Mrs. Morgan Young,emily66@bradshaw.com,(251)117-1179
5,Garcia Ltd,Ashlee Jackson,ygarcia@hotmail.com,353.779.0536x451
6,Figueroa PLC,Luis Hernandez,jacobmorris@gmail.com,001-465-019-0212x991
7,Reed PLC,Thomas Morris,michelle68@gmail.com,679-275-8303x03917
8,Davis Inc,Sheila Pacheco,hmitchell@gonzalez.net,001-907-230-3255x739
9,Frost Group,Nathan Singleton,shannon83@yahoo.com,192.009.4187
10,Graham Ltd,Sally Wheeler,cynthia41@wagner-wright.com,031-211-0185x40948
11,"Benitez, Lucas and Wright",Neil Reed,james25@brown-cardenas.org,(618)420-7386x2758
12,Munoz LLC,Miss Donna Kelly MD,dawnlogan@hotmail.com,088-388-5451x737
13,Long LLC,Kevin Baker,daniellepaul@banks.net,863-696-7091
14,Smith Group,Emily Thompson,xmoses@yahoo.com,2868134211
15,Yu-Smith,Mary Wallace,jasmine85@miles.com,200-233-0479x95076
16,"Jenkins, Monroe and Guzman",Pamela Bridges,beangeorge@greene-kaiser.com,+1-488-819-1221
17,"Mcmillan, Torres and Taylor",Beth Caldwell,lambertdonna@vaughn.com,+1-255-262-4306x766
18,Koch PLC,Jennifer Joseph,charles23@huerta.com,0940941120
19,Haynes-Johnson,Bobby Barr,delgadopaula@snyder.com,4564442107
20,"Fisher, Love and Rodriguez",Olivia Murray,wdavis@yahoo.com,467-454-1645x86524
